date,value
1659-01-01,3.0
1659-02-01,4.0
1659-03-01,6.0
1659-04-01,7.0
1659-05-01,11.0
1659-06-01,13.0
1659-07-01,16.0
1659-08-01,16.0
1659-09-01,13.0
1659-10-01,10.0
1659-11-01,5.0
1659-12-01,2.0
1660-01-01,0.0
1660-02-01,4.0
1660-03-01,6.0
1660-04-01,9.0
1660-05-01,11.0
1660-06-01,14.0
1660-07-01,15.0
1660-08-01,16.0
1660-09-01,13.0
1660-10-01,10.0
1660-11-01,6.0
1660-12-01,5.0
1661-01-01,5.0
1661-02-01,5.0
1661-03-01,6.0
1661-04-01,8.0
1661-05-01,11.0
1661-06-01,14.0
1661-07-01,15.0
1661-08-01,15.0
1661-09-01,13.0
1661-10-01,11.0
1661-11-01,8.0
1661-12-01,6.0
1662-01-01,5.0
1662-02-01,6.0
1662-03-01,6.0
1662-04-01,8.0
1662-05-01,11.0
1662-06-01,15.0
1662-07-01,15.0
1662-08-01,15.0
1662-09-01,13.0
1662-10-01,11.0
1662-11-01,6.0
1662-12-01,3.0
1663-01-01,1.0
1663-02-01,1.0
1663-03-01,5.0
1663-04-01,7.0
1663-05-01,10.0
1663-06-01,14.0
1663-07-01,15.0
1663-08-01,15.0
1663-09-01,13.0
1663-10-01,10.0
1663-11-01,7.0
1663-12-01,5.0
1664-01-01,4.0
1664-02-01,5.0
1664-03-01,5.0
1664-04-01,8.0
1664-05-01,11.0
1664-06-01,15.0
1664-07-01,16.0
1664-08-01,16.0
1664-09-01,13.0
1664-10-01,9.0
1664-11-01,6.0
1664-12-01,4.0
1665-01-01,1.0
1665-02-01,1.0
1665-03-01,5.0
1665-04-01,7.0
1665-05-01,10.0
1665-06-01,14.0
1665-07-01,16.0
1665-08-01,15.0
1665-09-01,13.0
1665-10-01,9.0
1665-11-01,6.0
1665-12-01,2.0
1666-01-01,4.0
1666-02-01,5.0
1666-03-01,6.0
1666-04-01,8.0
1666-05-01,11.0
1666-06-01,15.0
1666-07-01,18.0
1666-08-01,17.0
1666-09-01,14.0
1666-10-01,11.0
1666-11-01,6.0
1666-12-01,3.0
1667-01-01,0.0
1667-02-01,4.0
1667-03-01,2.0
1667-04-01,7.0
1667-05-01,10.0
1667-06-01,15.0
1667-07-01,17.0
1667-08-01,16.0
1667-09-01,13.0
1667-10-01,9.0
1667-11-01,6.0
1667-12-01,3.0
1668-01-01,5.0
1668-02-01,5.0
1668-03-01,5.0
1668-04-01,8.0
1668-05-01,10.0
1668-06-01,14.0
1668-07-01,16.0
1668-08-01,16.0
1668-09-01,14.0
1668-10-01,10.0
1668-11-01,6.0
1668-12-01,5.0
1669-01-01,1.0
1669-02-01,4.0
1669-03-01,5.0
1669-04-01,7.0
1669-05-01,11.0
1669-06-01,15.0
1669-07-01,17.0
1669-08-01,16.0
1669-09-01,14.0
1669-10-01,10.0
1669-11-01,6.0
1669-12-01,2.0
1670-01-01,3.0
1670-02-01,1.0
1670-03-01,5.0
1670-04-01,8.0
1670-05-01,11.0
1670-06-01,14.0
1670-07-01,16.0
1670-08-01,16.0
1670-09-01,14.0
1670-10-01,10.0
1670-11-01,6.0
1670-12-01,3.0
1671-01-01,4.0
1671-02-01,3.5
1671-03-01,5.0
1671-04-01,7.5
1671-05-01,11.5
1671-06-01,13.5
1671-07-01,16.0
1671-08-01,15.5
1671-09-01,13.5
1671-10-01,8.5
1671-11-01,6.0
