y	cg	cd	od	x
10.98	0.61	31	20	35.3
11.13	0.64	29	20	29.7
12.51	0.78	31	23	30.8
8.40	0.49	30	20	58.8
9.27	0.84	31	21	61.4
8.73	0.74	30	22	71.3
6.36	0.42	31	11	74.4
8.50	0.87	31	23	76.7
7.82	0.75	30	21	70.7
9.14	0.76	31	20	57.5
8.24	0.65	30	20	46.4
12.19	0.62	31	21	28.9
11.88	0.79	31	21	28.1
9.57	0.60	28	19	39.1
10.94	0.70	31	23	46.8
9.58	0.74	30	20	48.5
10.09	0.85	31	22	59.3
8.11	0.67	30	22	70.0
6.83	0.45	31	11	70.0
8.88	0.95	31	23	74.5
7.68	0.64	30	20	72.1
8.47	0.75	31	21	58.1
8.86	0.70	30	20	44.6
10.36	0.67	31	20	33.4
11.08	0.70	31	22	28.6
